Album Title,Artist,Release Date,Number of Tracks,Album Duration,Digital Price,CD Price,Vinyl Price,Tags
Moss (Original Game Soundtrack),Jason Graves,2018-08-03,11,0 days 00:57:32,10,18,28,"['malukah', 'soundtrack', 'instrumental', 'jason graves', 'materia collective', 'moss game', 'orchestral', 'polyarc', 'video game music', 'video game soundtrack', 'Seattle']"
Moss: Book II (Original Game Soundtrack),Jason Graves,2022-07-21,17,0 days 01:39:06,10,25,40,"['soundtrack', 'instrumental', 'jason graves', 'materia collective', 'moss game', 'orchestral', 'polyarc', 'video game music', 'video game soundtrack', 'Seattle']"
Nightslink (Original Game Soundtrack),Valter Abreu,2022-11-29,6,0 days 00:18:55,5,,,"['electronic', 'gaming music', 'materia collective', 'valter abreu', 'ambiance', 'drone', 'horror', 'soundtrack', 'video game music', 'video game soundtrack', 'Portugal']"
Shadows Over Loathing (Original Game Soundtrack),Ryan Ike,2022-11-11,29,0 days 00:56:39,10,,,"['asymmetric', 'soundtrack', 'game soundtrack', 'indie games', 'kingdom of loathing', 'materia collective', 'piano', 'ryan ike', 'soundtrack', 'video game music', 'video game soundtrack', 'west of loathing', 'Seattle']"
"Pursuit ~ A Great Turnabout (from ""The Great Ace Attorney"")",Wayne Strange,2022-10-12,1,0 days 00:03:48,1,,,"[' video game remix', 'ace attorney', 'soundtrack', 'yasumasa kitagawa', 'capcom', 'jazz', 'materia collective', 'orchestral', 'vgm', 'vgmusic', 'video game music', 'wayne strange', 'Seattle']"
Music Box Classics: KINGDOM HEARTS II,Video Game Music Box,2022-08-26,10,0 days 00:33:40,10,,,"['soundtrack', 'danny elfman', 'disney', 'hans zimmer', 'kingdom hearts', 'music box', 'musicbox', 'square enix', 'video game music', 'video game soundtrack', 'xionlives', 'yoko shimomura', '八音盒', 'Seattle']"
Music Box Classics: MEGA MAN 2,Video Game Music Box,2022-08-09,10,0 days 00:26:42,10,,,"['soundtrack', 'takashi tateishi', 'capcom', 'materia collective', 'mega man', 'mega man 2', 'megaman', 'megaman 2', 'music box', 'musicbox', 'rockman', 'video game music', 'video game soundtrack', '八音盒', 'Seattle']"
Music Box Classics: FINAL FANTASY X,Video Game Music Box,2022-07-29,10,0 days 00:38:57,10,,,"['nobuo uematsu', 'soundtrack', 'square enix', 'final fantasy', 'final fantasy 10', 'final fantasy x', 'materia collective', 'music box', 'musicbox', 'video game music', 'video game soundtrack', '八音盒', 'Seattle']"
Music Box Classics: NieR​:​Automata,Video Game Music Box,2022-06-24,10,0 days 00:39:18,10,,,"['keiichi okabe', 'materia collective', 'nier', 'nier automata', 'soundtrack', 'square enix', 'music box', 'musicbox', 'video game music', 'video game soundtrack', '八音盒', 'Seattle']"
"Battle for Spira (from ""FINAL FANTASY X"")",Rozen,2022-06-14,1,0 days 00:05:05,1,,,"['final fantasy', 'final fantasy x', 'materia collective', 'nobuo uematsu', 'rozen', 'soundtrack', 'square enix', 'orchestral', 'video game music', 'video game soundtrack', 'videogame', 'Seattle']"
