Album ID,Album Title,Artists,Album Type,Number of Tracks,Spotify Release Date,Image URL,BC Album Title,BC Release Date,BC Number of Tracks,BC Duration,Digital Price,CD Price,Vinyl Price,Tags
0SUP8UK1MhqqGNPGJmSfqT,Moss (Original Game Soundtrack),['Jason Graves'],album,11.0,2018-08-03,https://i.scdn.co/image/ab67616d0000b2734a7afdb942f7039eeeeb7bf9,Moss (Original Game Soundtrack),2018-08-03,11,0 days 00:57:32,10.0,18.0,28.0,"['malukah', 'soundtrack', 'instrumental', 'jason graves', 'materia collective', 'moss game', 'orchestral', 'polyarc', 'video game music', 'video game soundtrack', 'Seattle']"
1rYGCDgOM5F1H4Rzg4YsAx,Moss: Book II (Original Game Soundtrack),['Jason Graves'],album,17.0,2022-07-21,https://i.scdn.co/image/ab67616d0000b27388ad4ca39b8afb67d923a212,Moss: Book II (Original Game Soundtrack),2022-07-21,17,0 days 01:39:06,10.0,25.0,40.0,"['soundtrack', 'instrumental', 'jason graves', 'materia collective', 'moss game', 'orchestral', 'polyarc', 'video game music', 'video game soundtrack', 'Seattle']"
3SjkjUGbVaW2rhdgNBc24U,Nightslink (Original Game Soundtrack),['Valter Abreu'],single,6.0,2022-12-02,https://i.scdn.co/image/ab67616d0000b273736ef0d398a2fe936a9cad37,Nightslink (Original Game Soundtrack),2022-11-29,6,0 days 00:18:55,5.0,,,"['electronic', 'gaming music', 'materia collective', 'valter abreu', 'ambiance', 'drone', 'horror', 'soundtrack', 'video game music', 'video game soundtrack', 'Portugal']"
0iGcgE3EiMWchNImjAdIUl,Shadows Over Loathing (Original Game Soundtrack),['Ryan Ike'],album,29.0,2022-11-11,https://i.scdn.co/image/ab67616d0000b2730d00827d26d664e1b848e7c8,Shadows Over Loathing (Original Game Soundtrack),2022-11-11,29,0 days 00:56:39,10.0,,,"['asymmetric', 'soundtrack', 'game soundtrack', 'indie games', 'kingdom of loathing', 'materia collective', 'piano', 'ryan ike', 'soundtrack', 'video game music', 'video game soundtrack', 'west of loathing', 'Seattle']"
0wXaMaCGUoZAlDGnzrmng5,"Pursuit ~ A Great Turnabout (from ""The Great Ace Attorney"")",['Wayne Strange'],single,1.0,2022-10-12,https://i.scdn.co/image/ab67616d0000b2731621682f9648b7f942f4f426,"Pursuit ~ A Great Turnabout (from ""The Great Ace Attorney"")",2022-10-12,1,0 days 00:03:48,1.0,,,"[' video game remix', 'ace attorney', 'soundtrack', 'yasumasa kitagawa', 'capcom', 'jazz', 'materia collective', 'orchestral', 'vgm', 'vgmusic', 'video game music', 'wayne strange', 'Seattle']"
6Q83HK5uxugQAdu6tEoIou,Music Box Classics: KINGDOM HEARTS II,['Video Game Music Box'],album,10.0,2022-08-26,https://i.scdn.co/image/ab67616d0000b27329b2720034d587da08215b09,Music Box Classics: KINGDOM HEARTS II,2022-08-26,10,0 days 00:33:40,10.0,,,"['soundtrack', 'danny elfman', 'disney', 'hans zimmer', 'kingdom hearts', 'music box', 'musicbox', 'square enix', 'video game music', 'video game soundtrack', 'xionlives', 'yoko shimomura', '八音盒', 'Seattle']"
11JWa1bAjnvU87MbjHoB98,Music Box Classics: MEGA MAN 2,['Video Game Music Box'],album,10.0,2022-08-09,https://i.scdn.co/image/ab67616d0000b273577cd8626010877163a8b195,Music Box Classics: MEGA MAN 2,2022-08-09,10,0 days 00:26:42,10.0,,,"['soundtrack', 'takashi tateishi', 'capcom', 'materia collective', 'mega man', 'mega man 2', 'megaman', 'megaman 2', 'music box', 'musicbox', 'rockman', 'video game music', 'video game soundtrack', '八音盒', 'Seattle']"
2mfUTktKueMczFvKxFrHaf,Music Box Classics: FINAL FANTASY X,['Video Game Music Box'],album,10.0,2022-07-29,https://i.scdn.co/image/ab67616d0000b273a00f7e6bfb8e45dccc43cd35,Music Box Classics: FINAL FANTASY X,2022-07-29,10,0 days 00:38:57,10.0,,,"['nobuo uematsu', 'soundtrack', 'square enix', 'final fantasy', 'final fantasy 10', 'final fantasy x', 'materia collective', 'music box', 'musicbox', 'video game music', 'video game soundtrack', '八音盒', 'Seattle']"
54kg6niHbqa2xdS3iNOwxE,Music Box Classics: NieR:Automata,['Video Game Music Box'],album,10.0,2022-06-24,https://i.scdn.co/image/ab67616d0000b27379aea3bbe41621f66bd5db34,Music Box Classics: NieR​:​Automata,2022-06-24,10,0 days 00:39:18,10.0,,,"['keiichi okabe', 'materia collective', 'nier', 'nier automata', 'soundtrack', 'square enix', 'music box', 'musicbox', 'video game music', 'video game soundtrack', '八音盒', 'Seattle']"
4SsESGKYZUZ5D1oUEqSE75,"Battle for Spira (from ""FINAL FANTASY X"")",['ROZEN'],single,1.0,2017-08-18,https://i.scdn.co/image/ab67616d0000b27323402e857c49de74d98610f1,"Battle for Spira (from ""FINAL FANTASY X"")",2022-06-14,1,0 days 00:05:05,1.0,,,"['final fantasy', 'final fantasy x', 'materia collective', 'nobuo uematsu', 'rozen', 'soundtrack', 'square enix', 'orchestral', 'video game music', 'video game soundtrack', 'videogame', 'Seattle']"
